Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,124.625,125.187523,111.625,118.125,98114800,27.425189000000003
2000-01-04,115.5,118.625,105.0,107.687523,116824800,25.001910000000002
2000-01-05,101.625,106.375,96.0,102.0,166054000,23.681433
2000-01-06,100.156242,105.0,94.687523,96.0,109880000,22.288407
2000-01-07,95.0,103.5,93.562477,103.375,91755600,24.000668
2000-01-10,108.0,116.0,105.5,115.75,91518000,26.873783000000003
2000-01-11,112.625,114.75,109.5,112.375,86585200,26.090206
2000-01-12,112.25,112.25,103.687523,105.625,83443600,24.523052
2000-01-13,108.5,109.875,103.5,105.062477,55779200,24.392451
2000-01-14,109.0,111.375,104.75,106.812477,57078000,24.79875
2000-01-18,107.875,114.5,105.625,111.25,66780000,25.829014
2000-01-19,56.125,58.25,54.0,57.125,49198400,26.525526
2000-01-20,59.0,60.25,58.125,59.25,54526800,27.512253
2000-01-21,61.5,61.5,59.0,59.6875,50891000,27.715402
2000-01-24,60.25,60.375,54.0,54.1875,50022400,25.161522
2000-01-25,55.0625,57.5,54.875,56.4375,53059200,26.206291
2000-01-26,56.75,58.9375,55.0,55.0625,47569200,25.567821
2000-01-27,55.8125,56.6875,50.0,51.8125,61054000,24.058711
2000-01-28,51.5,51.9375,46.625,47.375,86394000,21.998194
2000-01-31,47.9375,50.125,47.0625,49.953121,68148000,23.195323000000002
2000-02-01,51.25,54.3125,50.0,54.0,57105600,25.074458
2000-02-02,54.9375,56.0,54.0,54.3125,63933000,25.219565
2000-02-03,55.375,57.0,54.25,56.6875,55533200,26.322377000000003
2000-02-04,57.625,58.25,56.8125,57.8125,40916000,26.844761
2000-02-07,59.3125,60.0,58.875,59.9375,44691200,27.831488
2000-02-08,60.75,61.4375,59.0,59.5625,55718000,27.657359999999997
2000-02-09,60.0625,61.3125,58.8125,59.9375,52471600,27.831488
2000-02-10,60.0,62.625,58.0,62.3125,45288600,28.9343
2000-02-11,62.5,64.75,58.75,59.6875,55774000,27.715402
2000-02-14,60.875,62.25,58.625,62.1875,37599800,28.876257
2000-02-15,61.625,63.1875,59.125,61.375,47971400,28.498979
2000-02-16,61.0,62.5625,60.125,61.25,33489200,28.440935999999997
2000-02-17,61.75,62.75,60.0,61.625,40392600,28.615065
2000-02-18,61.6875,62.0,58.375,58.5625,63888400,27.193018
2000-02-22,59.125,61.4375,56.3125,59.3125,75546200,27.541273999999998
2000-02-23,60.1875,63.265620999999996,59.625,63.0625,69664400,29.282556
2000-02-24,63.1875,65.0625,60.25,61.9375,70963200,28.760171000000003
2000-02-25,61.875,71.0,61.875,70.625,103186600,32.794140999999996
2000-02-28,71.25,76.5,68.25,68.625,122316600,31.865457
2000-02-29,73.375,74.4375,71.125,74.25,55586400,34.47738
2000-03-01,73.75,74.5,70.75,71.5,44934400,33.20044
2000-03-02,73.5,73.5625,67.875,68.5,52311000,31.807415000000002
2000-03-03,71.125,75.125,70.171883,75.0,47974400,34.825635999999996
2000-03-06,74.8125,76.9375,72.375,75.75,45520600,35.173893
